Channel,Frequency,Security,NSS,Cfg-Mode,Bandwidth,Pkt,Traffic-Type,Direction,Atten,Rotation,Offered-1m,Rx-Bps,Rx-Bps-1m,Rx-Bps-LL,Rx-Bps-3s,RSSI,Tx-Failed,Tx-Failed%,Tx-Rate,Rx-Rate,Rpt-Mode,Rpt-Mode-Brief
40,5200,WPA2,4,AUTO,20,512,UDP,DUT-TX,NA,NA,328.157 Mbps,234.763 Mbps,235.32 Mbps,256.349 Mbps,220.346 Mbps,-66,0 / 1355820,0,346.7 Mbps,288.9 Mbps,802.11an-AC,802.11ac
40,5200,WPA2,4,AUTO,20,512,UDP,DUT-RX,NA,NA,243.174 Mbps,240.783 Mbps,241.497 Mbps,263.078 Mbps,258.119 Mbps,-60,384 / 965758,0.04,346.7 Mbps,288.9 Mbps,802.11an-AC,802.11ac
40,5200,WPA2,4,AUTO,20,512,TCP,DUT-TX,NA,NA,166.317 Mbps,165.621 Mbps,165.945 Mbps,186.237 Mbps,163.422 Mbps,-64,0 / 799184,0,346.7 Mbps,288.9 Mbps,802.11an-AC,802.11ac
40,5200,WPA2,4,AUTO,20,512,TCP,DUT-RX,NA,NA,204.654 Mbps,198.963 Mbps,199.565 Mbps,223.847 Mbps,205.377 Mbps,-67,384 / 842555,0.046,346.7 Mbps,289 Mbps,802.11an-AC,802.11ac
40,5200,WPA2,4,AUTO,20,1024,UDP,DUT-TX,NA,NA,328.195 Mbps,250.871 Mbps,251.512 Mbps,262.27 Mbps,280.033 Mbps,-66,0 / 653416,0,346.7 Mbps,346.7 Mbps,802.11an-AC,802.11ac
40,5200,WPA2,4,AUTO,20,1024,UDP,DUT-RX,NA,NA,257.82 Mbps,253.319 Mbps,254.234 Mbps,265.108 Mbps,224.303 Mbps,-60,576 / 486472,0.118,288.9 Mbps,346.7 Mbps,802.11an-AC,802.11ac
40,5200,WPA2,4,AUTO,20,1024,TCP,DUT-TX,NA,NA,182.74 Mbps,181.371 Mbps,181.969 Mbps,192.246 Mbps,198.852 Mbps,-66,0 / 344389,0,260 Mbps,289 Mbps,802.11an-AC,802.11ac
40,5200,WPA2,4,AUTO,20,1024,TCP,DUT-RX,NA,NA,214.802 Mbps,211.777 Mbps,212.695 Mbps,224.815 Mbps,166.754 Mbps,-65,576 / 473410,0.122,260 Mbps,346.7 Mbps,802.11an-AC,802.11ac
40,5200,WPA2,4,AUTO,20,MTU,UDP,DUT-TX,NA,NA,329.006 Mbps,242.329 Mbps,243.51 Mbps,250.458 Mbps,242.991 Mbps,-64,0 / 433481,0,260 Mbps,289 Mbps,802.11an-AC,802.11ac
40,5200,WPA2,4,AUTO,20,MTU,UDP,DUT-RX,NA,NA,251.867 Mbps,245.362 Mbps,246.517 Mbps,253.551 Mbps,248.745 Mbps,-60,576 / 332501,0.173,288.9 Mbps,289 Mbps,802.11an-AC,802.11ac
40,5200,WPA2,4,AUTO,20,MTU,TCP,DUT-TX,NA,NA,191.326 Mbps,189.334 Mbps,190.314 Mbps,198.829 Mbps,198.657 Mbps,-65,0 / 289975,0,288.9 Mbps,346.7 Mbps,802.11an-AC,802.11ac
40,5200,WPA2,4,AUTO,20,MTU,TCP,DUT-RX,NA,NA,251.409 Mbps,246.552 Mbps,248.036 Mbps,259.015 Mbps,265.454 Mbps,-67,384 / 375698,0.102,346.7 Mbps,312 Mbps,802.11an-AC,802.11ac
40,5200,WPA2,4,AUTO,20,4000,UDP,DUT-TX,NA,NA,329.168 Mbps,20.712 Mbps,20.858 Mbps,21.522 Mbps,0 bps,-66,0 / 471316,0,346.7 Mbps,346.7 Mbps,802.11an-AC,802.11ac
40,5200,WPA2,4,AUTO,20,4000,UDP,DUT-RX,NA,NA,279.804 Mbps,36.316 Mbps,36.543 Mbps,37.706 Mbps,182.705 Mbps,-61,384 / 391407,0.098,346.7 Mbps,346.7 Mbps,802.11an-AC,802.11ac
40,5200,WPA2,4,AUTO,20,4000,TCP,DUT-TX,NA,NA,195.428 Mbps,193.358 Mbps,194.584 Mbps,203.224 Mbps,206.59 Mbps,-64,0 / 295435,0,346.7 Mbps,346.7 Mbps,802.11an-AC,802.11ac
40,5200,WPA2,4,AUTO,20,4000,TCP,DUT-RX,NA,NA,265.064 Mbps,256.397 Mbps,258.174 Mbps,269.603 Mbps,259.156 Mbps,-64,384 / 391639,0.098,346.7 Mbps,288.9 Mbps,802.11an-AC,802.11ac
