"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Oct 15 11:26:09 UTC 2025","Wed Oct 15 11:26:09 UTC 2025","0","e2e.basic.performance_tests.peak_throughput_tests.bridge_mode.wpa2_personal_encryption","test_peak_throughput_wpa2_40Mhz_5g","Test40Mhz5GChannel108PeakThroughput","","","test_client_wpa2_bridge_tcp_dl[setup_configuration0]"," Wifi Capacity Test BRIDGE mode
            pytest -m ""wifi_capacity_test and BRIDGE and wpa2_personal and twog""
        "
"skipped","Wed Oct 15 11:26:09 UTC 2025","Wed Oct 15 11:26:09 UTC 2025","0","e2e.basic.performance_tests.peak_throughput_tests.bridge_mode.wpa3_enterprise_encryption","test_peak_throughput_wpa3_eap_20Mhz_2g","Test20Mhz2GChannel11PeakThroughput","","","test_client_wpa3_enterprise_bridge_udp_bidirectional[setup_configuration0]"," Wifi Capacity Test BRIDGE mode
            pytest -m ""wifi_capacity_test and BRIDGE and wpa3_enterprise and twog""
        "
"skipped","Wed Oct 15 11:26:20 UTC 2025","Wed Oct 15 11:26:20 UTC 2025","0","Rate Limiting Tests","VLAN Mode","General security mode Rate Limiting","","","Vlan Mode Rate Limiting Test with wpa encryption 2.4 GHz Band","
            VLAN Mode Rate Limiting Test with wpa encryption 2.4 GHz Band
            pytest -m ""rate_limiting_tests and vlan and general and wpa and twog""
        "
"skipped","Wed Oct 15 11:26:07 UTC 2025","Wed Oct 15 11:26:07 UTC 2025","0","BE Capacity Test","2.4 GHz Band","NAT Mode","","","Single BE client UDP Download wifi capacity","
        Description:
        The test case examines the maximum performance of a DUT supporting BE clients in NAT mode.
        This test focuses on stressing the DUT's capacity under the influence of 2.4Ghz UDP Download traffic.
        The 2.4Ghz station is configured for 20Mhz bandwidth and two spatial streams.

        Markers:
        wifi_capacity_be_tests and wpa2_personal and nat and twog and udp_download

        Note:
        Please refer to the PDF report for detailed observations and analysis of the test results.
        "
"skipped","Wed Oct 15 11:26:20 UTC 2025","Wed Oct 15 11:26:20 UTC 2025","0","kafka_tests.ap_events","test_kafka_ap_events","TestKafkaApEvents","","","Test to check Health DNS event",""
"skipped","Wed Oct 15 11:26:15 UTC 2025","Wed Oct 15 11:26:15 UTC 2025","0","e2e.basic.performance_tests.peak_throughput_tests.nat_mode.wpa3_personal_encryption","test_peak_throughput_wpa3_20Mhz_2g","Test20Mhz2GChannel8PeakThroughput","","","test_client_wpa3_personal_nat_tcp_ul[setup_configuration0]"," Wifi Capacity Test NAT mode
            pytest -m ""wifi_capacity_test and NAT and wpa3_personal and twog""
        "
"skipped","Wed Oct 15 11:26:14 UTC 2025","Wed Oct 15 11:26:14 UTC 2025","0","e2e.basic.performance_tests.peak_throughput_tests.nat_mode.wpa2_personal_encryption","test_peak_throughput_wpa2_40Mhz_2g","Test20Mhz2GChannel3PeakThroughput","","","test_client_wpa2_personal_nat_udp_bidirectional[setup_configuration0]"," Wifi Capacity Test NAT mode
            pytest -m ""wifi_capacity_test and NAT and wpa2_personal and twog""
        "
"skipped","Wed Oct 15 11:26:07 UTC 2025","Wed Oct 15 11:26:07 UTC 2025","0","AX Capacity Test","5 GHz Band","BRIDGE Mode","","","Single AX client TCP Upload wifi capacity","
        Description:
        The test case examines the maximum performance of a DUT supporting 802.11ax clients in Bridge mode.
        This test focuses on stressing the DUT's capacity under the influence of 5Ghz TCP Upload traffic.
        The 5Ghz station is configured for 80Mhz bandwidth and two spatial streams.

        Markers:
        wifi_capacity_ax_tests and wpa2_personal and bridge and fiveg and tcp_upload

        Note:
        Please refer to the PDF report for detailed observations and analysis of the test results.
        "
"skipped","Wed Oct 15 11:26:15 UTC 2025","Wed Oct 15 11:26:15 UTC 2025","0","e2e.basic.performance_tests.peak_throughput_tests.nat_mode.wpa3_enterprise_encryption","test_peak_throughput_wpa3_eap_40Mhz_2g","Test20Mhz2GChannel11PeakThroughput","","","test_client_wpa3_enterprise_nat_udp_bidirectional[setup_configuration0]"," Wifi Capacity Test NAT mode
            pytest -m ""wifi_capacity_test and NAT and wpa3_enterprise and twog""
        "
"skipped","Wed Oct 15 11:26:12 UTC 2025","Wed Oct 15 11:26:12 UTC 2025","0","e2e.basic.performance_tests.peak_throughput_tests.nat_mode.open_encryption","test_peak_throughput_open_40Mhz_2g","Test20Mhz2GChannel6PeakThroughput","","","test_client_open_nat_tcp_bidirectional[setup_configuration0]"," Wifi Capacity Test NAT mode
            pytest -m ""peak_throughput_tests and NAT and open and twog""
        "
"skipped","Wed Oct 15 11:26:07 UTC 2025","Wed Oct 15 11:26:07 UTC 2025","0","Dataplane Tests","WPA3 Personal Security","VLAN Mode","","","Test for TCP UDP Download 2.4 GHz","Dataplane THroughput VLAN Mode
           pytest -m ""dataplane_tests and vlan and wpa3_personal and twog""
        "
"skipped","Wed Oct 15 11:26:12 UTC 2025","Wed Oct 15 11:26:12 UTC 2025","0","e2e.basic.performance_tests.peak_throughput_tests.nat_mode.open_encryption","test_peak_throughput_open_20Mhz_5g","TestCountryCA20Mhz5GChannel100PeakThroughput","","","test_client_open_nat_tcp_bidirectional[setup_configuration0]"," Wifi Capacity Test NAT mode
            pytest -m ""peak_throughput_tests and nat and open and twog""
        "
"skipped","Wed Oct 15 11:26:18 UTC 2025","Wed Oct 15 11:26:18 UTC 2025","0","Country Code Tests","BRIDGE Mode(80 MHz)","IN country code (Channel-116)","","","Test for bandwidth 80 and channel 116","Country code Bridge Mode
           pytest -m ""country_code and eightyMhz and wpa2 and fiveg and channel116""
        "
"skipped","Wed Oct 15 11:26:09 UTC 2025","Wed Oct 15 11:26:09 UTC 2025","0","e2e.basic.performance_tests.peak_throughput_tests.bridge_mode.wpa3_enterprise_encryption","test_peak_throughput_wpa3_eap_20Mhz_2g","Test20Mhz2GChannel8PeakThroughput","","","test_client_wpa3_enterprise_bridge_udp_ul[setup_configuration0]"," Wifi Capacity Test BRIDGE mode
            pytest -m ""wifi_capacity_test and BRIDGE and wpa3_enterprise and twog""
        "
"skipped","Wed Oct 15 11:26:07 UTC 2025","Wed Oct 15 11:26:07 UTC 2025","0","AX Capacity Test","2.4 GHz Band","NAT Mode","","","Single AX client TCP Bidirectional wifi capacity","
        Description:
        The test case examines the maximum performance of a DUT supporting 802.11ax clients in NAT mode.
        This test focuses on stressing the DUT's capacity under the influence of 2.4Ghz TCP Bidirectional traffic.
        The 2.4Ghz station is configured for 20Mhz bandwidth and two spatial streams.

        Markers:
        wifi_capacity_ax_tests and wpa2_personal and nat and twog and tcp_bidirectional

        Note:
        Please refer to the PDF report for detailed observations and analysis of the test results.
        "
"skipped","Wed Oct 15 11:26:17 UTC 2025","Wed Oct 15 11:26:17 UTC 2025","0","e2e.basic.performance_tests.throughput_benchmark.throughput_vs_various_pkt_sizes.open_security","test_bridge_mode","TestThroughputVsPktBridge2G","","","test_client_open_pkt_512_2g[setup_configuration0]","Throughput Vs Pkt Sizes Bridge Mode
           pytest -m ""throughput_vs_pkt and Bridge and open and twog""
        "
"skipped","Wed Oct 15 11:26:07 UTC 2025","Wed Oct 15 11:26:07 UTC 2025","0","Hot Configuration Reloads","WPA2 PERSONAL","Test Hot Config Reload","","","BRIDGE Mode Hot Reload with wpa2_personal encryption 5 GHz Band(DFS Parameter)","
            Test Description: The hot reload config feature allows real-time configuration updates without restarting services, minimizing downtime and service disruptions. It’s essential for maintaining continuous operation, especially in critical systems or environments with frequent updates. This feature enhances flexibility, improves scalability, and reduces the risk of human error. Here DFS feature comes under radio (PHY level) of AP, hence it’s modification should restart the service

            Marker:
            hot_reload and bridge and general and wpa2_personal and fiveg and dfs
        "
"skipped","Wed Oct 15 11:26:11 UTC 2025","Wed Oct 15 11:26:11 UTC 2025","0","e2e.basic.performance_tests.peak_throughput_tests.bridge_mode.wpa_encryption","test_peak_throughput_wpa_20Mhz_5g","TestCountryCA20Mhz5GChannel104PeakThroughput","","","test_client_wpa_bridge_tcp_bidirectional[setup_configuration0]"," Wifi Capacity Test BRIDGE mode
            pytest -m ""wifi_capacity_test and bridge and wpa and twog""
        "
"skipped","Wed Oct 15 11:26:09 UTC 2025","Wed Oct 15 11:26:09 UTC 2025","0","e2e.basic.performance_tests.peak_throughput_tests.bridge_mode.wpa3_enterprise_encryption","test_peak_throughput_wpa3_eap_20Mhz_5g","TestCountryCA20Mhz5GChannel116PeakThroughput","","","test_client_wpa3_eap_eap_bridge_udp_bidirectional[setup_configuration0]"," Wifi Capacity Test BRIDGE mode
            pytest -m ""wifi_capacity_test and bridge and wpa3_enterprise and twog""
        "
"skipped","Wed Oct 15 11:26:13 UTC 2025","Wed Oct 15 11:26:13 UTC 2025","0","e2e.basic.performance_tests.peak_throughput_tests.nat_mode.wpa2_enterprise_encryption","test_peak_throughput_wpa2_eap_20Mhz_5g","TestCountryCA20Mhz5GChannel104PeakThroughput","","","test_client_wpa2_eap_nat_udp_ul[setup_configuration0]"," Wifi Capacity Test NAT mode
            pytest -m ""wifi_capacity_test and nat and wpa2_enterprise and twog""
        "
"skipped","Wed Oct 15 11:26:08 UTC 2025","Wed Oct 15 11:26:08 UTC 2025","0","e2e.basic.performance_tests.peak_throughput_tests.bridge_mode.wpa2_enterprise_encryption","test_peak_throughput_wpa2_eap_80Mhz_5g","Test80Mhz5GChannel100PeakThroughput","","","test_client_wpa2_eap_bridge_tcp_bidirectional[setup_configuration0]"," Wifi Capacity Test BRIDGE mode
            pytest -m ""wifi_capacity_test and BRIDGE and wpa2_enterprise and twog""
        "
"skipped","Wed Oct 15 11:26:19 UTC 2025","Wed Oct 15 11:26:19 UTC 2025","0","Country Code Tests","BRIDGE Mode(80 MHz)","RU country code (Channel-132)","","","Test for bandwidth 80 and channel 132","Country code Bridge Mode
           pytest -m ""country_code and eightyMhz and wpa2 and fiveg and channel132""
        "
"skipped","Wed Oct 15 11:26:16 UTC 2025","Wed Oct 15 11:26:16 UTC 2025","0","Throughput Benchmark Test","6 GHz Band","NAT Mode","","","Single client UDP Upload wifi capacity 80Mhz Bw"," Single client Wifi Capacity Test nat mode
            pytest -m ""peak_throughput_tests and sixg and udp_upload and nat and channel_width_80""
        "
"skipped","Wed Oct 15 11:26:18 UTC 2025","Wed Oct 15 11:26:18 UTC 2025","0","Rate Limiting Tests","BRIDGE Mode","WPA2 Personal Security","","","Test for Download per client batch size 1,2,5 5 GHz","
            Test Rate Limiting Scenario
            pytest -m ""rate_limiting_tests and bridge and wpa2_personal and fiveg and dw_per_client""
        "
"skipped","Wed Oct 15 11:26:07 UTC 2025","Wed Oct 15 11:26:07 UTC 2025","0","AX Client Scale Tests","WPA3 Personal Security","BRIDGE Mode","","","Test for TCP Upload 5 GHz"," AX Client Scale Test BRIDGE mode
            pytest -m ""ax_client_scale_tests and bridge and wpa3_personal and fiveg and tcp_upload""
        "
"skipped","Wed Oct 15 11:26:17 UTC 2025","Wed Oct 15 11:26:17 UTC 2025","0","e2e.basic.performance_tests.throughput_benchmark.throughput_across_channel_bw","test_bridge_mode","TestThroughputAcrossBw40MhzBRIDGE","","","test_client_wpa2_personal_5g[setup_configuration0]","Throughput Across Bw Bridge Mode
           pytest -m ""throughput_across_bw_test and Bridge and wpa2_personal and fiveg""
        "
"skipped","Wed Oct 15 11:26:09 UTC 2025","Wed Oct 15 11:26:09 UTC 2025","0","e2e.basic.performance_tests.peak_throughput_tests.bridge_mode.wpa2_personal_encryption","test_peak_throughput_wpa2_40Mhz_5g","Test40Mhz5GChannel136PeakThroughput","","","test_client_wpa2_bridge_udp_bidirectional[setup_configuration0]"," Wifi Capacity Test BRIDGE mode
            pytest -m ""wifi_capacity_test and BRIDGE and wpa2_personal and twog""
        "
"skipped","Wed Oct 15 11:26:10 UTC 2025","Wed Oct 15 11:26:10 UTC 2025","0","e2e.basic.performance_tests.peak_throughput_tests.bridge_mode.wpa3_personal_encryption","test_peak_throughput_wpa3_40Mhz_2g","Test20Mhz2GChannel3PeakThroughput","","","test_client_wpa3_personal_bridge_tcp_dl[setup_configuration0]"," Wifi Capacity Test BRIDGE mode
            pytest -m ""wifi_capacity_test and BRIDGE and wpa3_personal and twog""
        "
"skipped","Wed Oct 15 11:26:20 UTC 2025","Wed Oct 15 11:26:20 UTC 2025","0","e2e.interOp.validation_of_operating_modes.bridge_mode.toggle_wifi_mode_test","test_general_security_modes","TestToggleWifiModeBridgeSuiteOne","","","BRIDGE Mode Toggle Wifi Button Test with open encryption 2.4 GHz Band",""
"skipped","Wed Oct 15 11:26:17 UTC 2025","Wed Oct 15 11:26:17 UTC 2025","0","e2e.basic.performance_tests.throughput_benchmark.throughput_vs_various_pkt_sizes.open_security","test_nat_mode","TestThroughputVsPktNAT2G","","","test_client_open_pkt_60_2g[setup_configuration0]","Throughput Vs Pkt Sizes nat Mode
           pytest -m ""throughput_vs_pkt and nat and open and twog and pkt60""
        "
"skipped","Wed Oct 15 11:26:13 UTC 2025","Wed Oct 15 11:26:13 UTC 2025","0","e2e.basic.performance_tests.peak_throughput_tests.nat_mode.wpa2_enterprise_encryption","test_peak_throughput_wpa2_eap_20Mhz_5g","TestCountryCA20Mhz5GChannel144PeakThroughput","","","test_client_wpa2_eap_nat_udp_ul[setup_configuration0]"," Wifi Capacity Test NAT mode
            pytest -m ""wifi_capacity_test and nat and wpa2_enterprise and twog""
        "
"skipped","Wed Oct 15 11:26:07 UTC 2025","Wed Oct 15 11:26:07 UTC 2025","0","e2e.basic.configuration_tests.bridge_mode","test_enterprise_security_modes_configuration","TestSetupBridgeEnterpriseSuiteB","","","test_setup_wpa_wpa2_enterprise_mixed_5g_ssid_profile[setup_configuration0]"," WPA WPA2 Enterprise SSID 5G "
"skipped","Wed Oct 15 11:26:17 UTC 2025","Wed Oct 15 11:26:17 UTC 2025","0","e2e.basic.performance_tests.throughput_benchmark.throughput_vs_various_pkt_sizes.wpa3_security","test_vlan_mode","TestThroughputVsPktWpa3Vlan2G","","","test_client_wpa3_personal_pkt_vlan_512_2g[setup_configuration0]","Throughput Vs Pkt Sizes VLAN Mode
           pytest -m ""throughput_vs_pkt and VLAN and wpa3_personal and twog""
        "
"skipped","Wed Oct 15 11:26:07 UTC 2025","Wed Oct 15 11:26:07 UTC 2025","0","BE Client Scale Tests","WPA2 Personal Security","BRIDGE Mode","","","Test for UDP Download 2.4 GHz"," BE Client Scale Test BRIDGE mode
            pytest -m ""be_client_scale_tests and bridge and wpa2_personal and twog and udp_download""
        "
"skipped","Wed Oct 15 11:26:13 UTC 2025","Wed Oct 15 11:26:13 UTC 2025","0","e2e.basic.performance_tests.peak_throughput_tests.nat_mode.wpa2_enterprise_encryption","test_peak_throughput_wpa2_eap_20Mhz_5g","TestCountryCA20Mhz5GChannel64PeakThroughput","","","test_client_wpa2_eap_nat_tcp_ul[setup_configuration0]"," Wifi Capacity Test NAT mode
            pytest -m ""wifi_capacity_test and nat and wpa2_enterprise and twog""
        "
"skipped","Wed Oct 15 11:26:13 UTC 2025","Wed Oct 15 11:26:13 UTC 2025","0","e2e.basic.performance_tests.peak_throughput_tests.nat_mode.wpa2_enterprise_encryption","test_peak_throughput_wpa2_eap_40Mhz_2g","Test20Mhz2GChannel8PeakThroughput","","","test_client_wpa2_enterprise_nat_tcp_ul[setup_configuration0]"," Wifi Capacity Test NAT mode
            pytest -m ""wifi_capacity_test and NAT and wpa2_enterprise and twog""
        "
"skipped","Wed Oct 15 11:26:09 UTC 2025","Wed Oct 15 11:26:09 UTC 2025","0","e2e.basic.performance_tests.peak_throughput_tests.bridge_mode.wpa2_personal_encryption","test_peak_throughput_wpa2_80Mhz_5g","Test80Mhz5GChannel132PeakThroughput","","","test_client_wpa2_bridge_tcp_ul[setup_configuration0]"," Wifi Capacity Test BRIDGE mode
            pytest -m ""wifi_capacity_test and BRIDGE and wpa2_personal and twog""
        "
"skipped","Wed Oct 15 11:26:09 UTC 2025","Wed Oct 15 11:26:09 UTC 2025","0","e2e.basic.performance_tests.peak_throughput_tests.bridge_mode.wpa2_personal_encryption","test_peak_throughput_wpa2_40Mhz_5g","Test40Mhz5GChannel60PeakThroughput","","","test_client_wpa2_bridge_udp_bidirectional[setup_configuration0]"," Wifi Capacity Test BRIDGE mode
            pytest -m ""wifi_capacity_test and BRIDGE and wpa2_personal and twog""
        "
"skipped","Wed Oct 15 11:26:12 UTC 2025","Wed Oct 15 11:26:12 UTC 2025","0","e2e.basic.performance_tests.peak_throughput_tests.nat_mode.open_encryption","test_peak_throughput_open_20Mhz_5g","TestCountryCA20Mhz5GChannel52PeakThroughput","","","test_client_open_nat_tcp_ul[setup_configuration0]"," Wifi Capacity Test NAT mode
            pytest -m ""peak_throughput_tests and nat and open and twog""
        "
"skipped","Wed Oct 15 11:26:12 UTC 2025","Wed Oct 15 11:26:12 UTC 2025","0","e2e.basic.performance_tests.peak_throughput_tests.nat_mode.wpa2_enterprise_encryption","test_peak_throughput_wpa2_eap_20Mhz_2g","Test20Mhz2GChannel6PeakThroughput","","","test_client_wpa2_enterprise_nat_udp_bidirectional[setup_configuration0]"," Wifi Capacity Test NAT mode
            pytest -m ""wifi_capacity_test and NAT and wpa2_enterprise and twog""
        "
"skipped","Wed Oct 15 11:26:12 UTC 2025","Wed Oct 15 11:26:12 UTC 2025","0","e2e.basic.performance_tests.peak_throughput_tests.nat_mode.open_encryption","test_peak_throughput_open_20Mhz_5g","TestCountryCA20Mhz5GChannel104PeakThroughput","","","test_client_open_nat_udp_ul[setup_configuration0]"," Wifi Capacity Test NAT mode
            pytest -m ""peak_throughput_tests and nat and open and twog""
        "
"skipped","Wed Oct 15 11:26:12 UTC 2025","Wed Oct 15 11:26:12 UTC 2025","0","e2e.basic.performance_tests.peak_throughput_tests.nat_mode.open_encryption","test_peak_throughput_open_40Mhz_5g","Test40Mhz5GChannel136PeakThroughput","","","test_client_open_nat_udp_bidirectional[setup_configuration0]"," Wifi Capacity Test NAT mode
            pytest -m ""peak_throughput_tests and NAT and open and twog""
        "
"skipped","Wed Oct 15 11:26:16 UTC 2025","Wed Oct 15 11:26:16 UTC 2025","0","e2e.basic.performance_tests.peak_throughput_tests.nat_mode.wpa3_personal_encryption","test_peak_throughput_wpa3_80Mhz_5g","Test80Mhz5GChannel132PeakThroughput","","","test_client_wpa3_nat_udp_bidirectional[setup_configuration0]"," Wifi Capacity Test NAT mode
            pytest -m ""wifi_capacity_test and NAT and wpa3_personal and twog""
        "
"skipped","Wed Oct 15 11:26:10 UTC 2025","Wed Oct 15 11:26:10 UTC 2025","0","e2e.basic.performance_tests.peak_throughput_tests.bridge_mode.wpa3_personal_encryption","test_peak_throughput_wpa3_40Mhz_2g","Test20Mhz2GChannel3PeakThroughput","","","test_client_wpa3_personal_bridge_tcp_ul[setup_configuration0]"," Wifi Capacity Test BRIDGE mode
            pytest -m ""wifi_capacity_test and BRIDGE and wpa3_personal and twog""
        "
"skipped","Wed Oct 15 11:26:12 UTC 2025","Wed Oct 15 11:26:12 UTC 2025","0","e2e.basic.performance_tests.peak_throughput_tests.nat_mode.open_encryption","test_peak_throughput_open_40Mhz_2g","Test20Mhz2GChannel9PeakThroughput","","","test_client_open_nat_tcp_dl[setup_configuration0]"," Wifi Capacity Test NAT mode
            pytest -m ""peak_throughput_tests and NAT and open and twog""
        "
"skipped","Wed Oct 15 11:26:07 UTC 2025","Wed Oct 15 11:26:07 UTC 2025","0","AX Client Scale Tests","WPA Personal Security","BRIDGE Mode","","","Test for TCP Upload 2.4 GHz"," AX Client Scale Test BRIDGE mode
            pytest -m ""ax_client_scale_tests and bridge and wpa_personal and twog and tcp_upload""
        "
"skipped","Wed Oct 15 11:26:08 UTC 2025","Wed Oct 15 11:26:08 UTC 2025","0","e2e.basic.performance_tests.peak_throughput_tests.bridge_mode.wpa2_enterprise_encryption","test_peak_throughput_wpa2_eap_20Mhz_5g","TestCountryCA20Mhz5GChannel116PeakThroughput","","","test_client_wpa2_eap_bridge_tcp_bidirectional[setup_configuration0]"," Wifi Capacity Test BRIDGE mode
            pytest -m ""wifi_capacity_test and bridge and wpa2_enterprise and twog""
        "
"skipped","Wed Oct 15 11:26:08 UTC 2025","Wed Oct 15 11:26:08 UTC 2025","0","e2e.basic.performance_tests.multi_station_throughput.wpa2_personal.nat_mode","performance","TestMultiStaThptnat","","","test_mstathpt_wpa2p_nat_tcp_ul_5g_20[setup_configuration0]","
        pytest -m ""multi_sta_thpt and nat and wpa2_personal and fiveg""

        "
"skipped","Wed Oct 15 11:26:08 UTC 2025","Wed Oct 15 11:26:08 UTC 2025","0","e2e.basic.performance_tests.peak_throughput_tests.bridge_mode.wpa2_enterprise_encryption","test_peak_throughput_wpa2_eap_20Mhz_5g","TestCountryCA20Mhz5GChannel136PeakThroughput","","","test_client_wpa2_eap_bridge_tcp_ul[setup_configuration0]"," Wifi Capacity Test BRIDGE mode
            pytest -m ""wifi_capacity_test and bridge and wpa2_enterprise and twog""
        "
"skipped","Wed Oct 15 11:26:07 UTC 2025","Wed Oct 15 11:26:07 UTC 2025","0","AX Capacity Test","5 GHz Band","BRIDGE Mode","","","Single AX client UDP Upload wifi capacity","
        Description:
        The test case examines the maximum performance of a DUT supporting 802.11ax clients in Bridge mode.
        This test focuses on stressing the DUT's capacity under the influence of 5Ghz UDP Upload traffic.
        The 5Ghz station is configured for 80Mhz bandwidth and two spatial streams.

        Markers:
        wifi_capacity_ax_tests and wpa2_personal and bridge and fiveg and udp_upload

        Note:
        Please refer to the PDF report for detailed observations and analysis of the test results.
        "
"skipped","Wed Oct 15 11:26:15 UTC 2025","Wed Oct 15 11:26:15 UTC 2025","0","e2e.basic.performance_tests.peak_throughput_tests.nat_mode.wpa3_personal_encryption","test_peak_throughput_wpa3_20Mhz_5g","TestCountryCA20Mhz5GChannel56PeakThroughput","","","test_client_wpa3_nat_tcp_bidirectional[setup_configuration0]"," Wifi Capacity Test NAT mode
            pytest -m ""wifi_capacity_test and nat and wpa3_personal and twog""
        "
"skipped","Wed Oct 15 11:26:12 UTC 2025","Wed Oct 15 11:26:12 UTC 2025","0","e2e.basic.performance_tests.peak_throughput_tests.nat_mode.open_encryption","test_peak_throughput_open_20Mhz_2g","Test20Mhz2GChannel4PeakThroughput","","","test_client_open_nat_udp_bidirectional[setup_configuration0]"," Wifi Capacity Test NAT mode
            pytest -m ""peak_throughput_tests and NAT and open and twog""
        "
"skipped","Wed Oct 15 11:26:12 UTC 2025","Wed Oct 15 11:26:12 UTC 2025","0","e2e.basic.performance_tests.peak_throughput_tests.nat_mode.wpa2_enterprise_encryption","test_peak_throughput_wpa2_eap_20Mhz_2g","Test20Mhz2GChannel3PeakThroughput","","","test_client_wpa2_enterprise_nat_tcp_bidirectional[setup_configuration0]"," Wifi Capacity Test NAT mode
            pytest -m ""wifi_capacity_test and NAT and wpa2_enterprise and twog""
        "
"skipped","Wed Oct 15 11:26:11 UTC 2025","Wed Oct 15 11:26:11 UTC 2025","0","e2e.basic.performance_tests.peak_throughput_tests.bridge_mode.wpa_encryption","test_peak_throughput_wpa_20Mhz_2g","Test20Mhz2GChannel6PeakThroughput","","","test_client_wpa_bridge_tcp_bidirectional[setup_configuration0]"," Wifi Capacity Test BRIDGE mode
            pytest -m ""wifi_capacity_test and BRIDGE and wpa and twog""
        "
