Channel	Frequency	Security	NSS	Cfg-Mode	Bandwidth	Pkt	Traffic-Type	Direction	Atten	Rotation	Offered-1m	Rx-Bps	Rx-Bps-1m	Rx-Bps-LL	Rx-Bps-3s	RSSI	Tx-Failed	Tx-Failed%	Tx-Rate	Rx-Rate	Rpt-Mode	Rpt-Mode-Brief
36	5180	WPA2	4	AUTO	160	1024	TCP	DUT-TX	NA	NA	478.345 Mbps	476.582 Mbps	476.813 Mbps	504.248 Mbps	479.659 Mbps	-53	0 / 942064	0	1733.3 Mbps	1.3 Gbps	802.11an-AC	802.11ac
36	5180	WPA2	4	AUTO	160	1024	TCP	DUT-RX	NA	NA	967.721 Mbps	962.673 Mbps	964.57 Mbps	1.02 Gbps	965.993 Mbps	-53	0 / 1894517	0	1733.3 Mbps	1.3 Gbps	802.11an-AC	802.11ac
36	5180	WPA2	4	AUTO	160	MTU	UDP	DUT-TX	NA	NA	2.947 Gbps	1.087 Gbps	1.087 Gbps	1.118 Gbps	1.084 Gbps	-54	0 / 3924360	0	1733.3 Mbps	1.3 Gbps	802.11an-AC	802.11ac
36	5180	WPA2	4	AUTO	160	MTU	UDP	DUT-RX	NA	NA	1.386 Gbps	1.385 Gbps	1.386 Gbps	1.426 Gbps	1.385 Gbps	-50	0 / 1776399	0	1733.3 Mbps	1.3 Gbps	802.11an-AC	802.11ac
36	5180	WPA2	4	AUTO	160	MTU	TCP	DUT-TX	NA	NA	512.691 Mbps	510.556 Mbps	510.939 Mbps	533.867 Mbps	513.713 Mbps	-53	0 / 750619	0	1733.3 Mbps	1.3 Gbps	802.11an-AC	802.11ac
36	5180	WPA2	4	AUTO	160	MTU	TCP	DUT-RX	NA	NA	1.233 Gbps	1.227 Gbps	1.229 Gbps	1.284 Gbps	1.217 Gbps	-52	0 / 1868053	0	1733.3 Mbps	1.3 Gbps	802.11an-AC	802.11ac
36	5180	WPA2	4	AUTO	160	4000	UDP	DUT-TX	NA	NA	2.958 Gbps	837.079 Kbps	843.631 Kbps	870.487 Kbps	0 bps	-53	0 / 11917211	0	1733.3 Mbps	1.3 Gbps	802.11an-AC	802.11ac
36	5180	WPA2	4	AUTO	160	4000	UDP	DUT-RX	NA	NA	1.368 Gbps	93.98 Mbps	94.746 Mbps	97.762 Mbps	473.099 Mbps	-49	0 / 1938537	0	1733.3 Mbps	1.3 Gbps	802.11an-AC	802.11ac
36	5180	WPA2	4	AUTO	160	4000	TCP	DUT-TX	NA	NA	490.511 Mbps	486.357 Mbps	490.411 Mbps	512.414 Mbps	453.423 Mbps	-53	0 / 759409	0	1733.3 Mbps	1.3 Gbps	802.11an-AC	802.11ac
36	5180	WPA2	4	AUTO	160	4000	TCP	DUT-RX	NA	NA	1.24 Gbps	1.239 Gbps	1.24 Gbps	1.295 Gbps	1.238 Gbps	-54	0 / 1886672	0	1733.3 Mbps	1.3 Gbps	802.11an-AC	802.11ac
